NUMBER,FLUX_AUTO,MAG_AUTO,MAGERR_AUTO,X_IMAGE,Y_IMAGE,FLAGS,CLASS_STAR,FLUX_RADIUS
2,346.9851,23.6492,0.0001,694.8843,152.0398,0,0.837,4.097
3,104.8552,24.9485,0.0004,1926.8713,152.929,0,0.821,4.26
29,181.7234,24.3515,0.0002,1002.1141,4.997,24,0.837,3.692
114,241.1355,24.0443,0.0002,2201.2615,2942.0771,2,0.816,4.123
257,144.6199,24.5994,0.0003,1312.0258,2889.7725,0,0.821,4.169
915,465.5811,23.33,0.0001,2528.5657,2677.343,0,0.841,4.422
1175,274.6687,23.903,0.0002,2534.6245,2594.2378,0,0.821,4.158
1376,216.7259,24.1602,0.0002,2483.2676,2470.207,2,0.802,4.163
1408,128.5651,24.7272,0.0003,2505.833,2516.895,2,0.816,4.198
1446,374.6861,23.5658,0.0001,2779.2278,2485.2976,0,0.835,4.092
1623,286.5681,23.8569,0.0001,821.4389,2421.6985,2,0.831,4.144
1932,186.2294,24.3249,0.0002,2719.7776,2324.9133,0,0.805,4.136
2059,243.7191,24.0328,0.0002,216.986,2294.1851,2,0.831,4.006
2754,341.1331,23.6677,0.0001,1136.0889,1974.838,2,0.83,3.98
3487,113.9717,24.858,0.0004,2623.2725,1738.2036,2,0.81,4.179
3634,112.5769,24.8714,0.0003,2864.9771,1720.0824,0,0.835,4.144
3724,163.7896,24.4643,0.0002,2878.7466,1626.3822,2,0.833,4.15
4590,236.9516,24.0634,0.0002,2981.6841,1357.1538,24,0.836,4.132
5539,329.3885,23.7057,0.0001,2392.1809,1034.7866,2,0.837,4.173
5714,252.4037,23.9948,0.0002,1167.2491,984.7518,0,0.837,4.171
6807,216.0119,24.1638,0.0002,906.2195,587.5083,2,0.83,4.223
6913,105.1755,24.9452,0.0004,1706.3361,557.2147,0,0.812,4.261
6998,165.3913,24.4537,0.0002,2319.6013,519.1796,2,0.83,4.223
7407,124.4996,24.7621,0.0003,1460.4062,373.2681,0,0.81,4.253
7464,184.4358,24.3354,0.0002,993.3309,366.9395,0,0.818,4.232
7772,443.5721,23.3826,0.0001,704.1927,261.1667,0,0.843,4.397
7893,259.155,23.9661,0.0002,1265.9004,226.8739,2,0.833,4.203
8013,183.6931,24.3398,0.0002,2977.7993,185.2184,24,0.832,4.21
877,2311.069,21.5905,0.0,9.1626,2654.8914,24,0.996,6.084
3083,1581.696,22.0022,0.0,796.0874,1906.2737,0,0.936,5.052
5909,1292.446,22.2215,0.0,2185.9751,912.2543,0,0.925,4.567
7204,1808.318,21.8568,0.0,258.3931,448.8258,0,0.823,5.391
1345,5800.526,20.5913,0.0,1485.791,2498.717,2,0.842,9.622
1884,5808.256,20.5899,0.0,2304.2522,2315.7153,0,0.841,9.636
2332,3490.02,21.1429,0.0,687.4656,2163.5884,2,0.834,7.473
2852,5606.881,20.6282,0.0,2107.4121,1956.9363,2,0.844,9.456
5576,5803.021,20.5909,0.0,2091.3728,976.3779,2,0.843,9.622
5803,3527.256,21.1314,0.0,249.2929,914.8071,2,0.805,7.511
7457,4291.532,20.9185,0.0,552.8097,338.5668,0,0.84,8.275
8510,5531.917,20.6428,0.0,1706.0256,2947.9421,8,0.844,9.395
